Betelgeuse,"(Beetlejuice): The Ghost with the Most."
Slender Man,"(Internet myth): No one knows what the Slender Man is; his defining characteristic is mystery, with the ability to inspire fear a close second. An urban legend for the 21st century, the Slender Man stalks his victims, sometimes over long periods of time, and may inspire amnesia, paranoia, and madness; he is allegedly responsible for various unexplained disappearances. All we really know is, the Slender Man is terrifying."
Slimer,"(Ghostbusters): Made of pure ectoplasm, Slimer is classified as a focused, non-terminal repeating phantasm, or a Class 5 full roaming vapor (and a real nasty one, at that). After the Ghostbusters stop him from haunting the Sedgewick Hotel, he became kind of a pet and a mascot, and became a more developed character in the Animated Series. Dan Ackroyd has referred to Slimer as ”The Ghost of John Belushi."""
Space Ghost,"(Space Ghost and Dino Boy/Space Ghost Coast to Coast): One of the greatest talk show hosts of all time, often accompanied by his nemeses/sidekicks Zorak, Moltar and Brak. Designed by the great Alex Toth, Space Ghost started out as superhero who fought villains and faced off against The Council of Doom (in space. Natch.), before signing on to host his own show on the Cartoon Network."
Strigoi,"(Romanian folklore): Troubled souls risen from the grave, a tradition dating back through Indo-European Dacian/Thracian mythology. Strigoi are often seen as being similar to vampires, immortal undead, but also manifest as evil spirits who haunt the living, often their living family members."
Candyman,"(Candyman): In life, the Candyman was the son of a slave who became a well-known artist; when he fell in love with a white woman, an angry mob cut off his hand, replacing it with a hook, smeared him with honey, and watched as he was stung to death by bees. According to the film’s urban legend, he can be summoned by saying his name five times in a mirror, but since we’re talking about Tony Todd with a hook-hand, it’s not recommended."
The Crypt Keeper,"(Tales from the Crypt): In the 50s, the Crypt Keeper started out as the narrator of EC’s horror comic anthology series Tales from the Crypt, until the Comics Code quickly brought about its untimely death. In 1989, however, the character was revived as a cackling animated corpse in order to host the HBO series of the same name. With lines like, “Hello, boils and ghouls!”, the Crypt Keeper’s moldering puns were usually the most deadly part of the show."
Headless Horseman,"(“The Legend of Sleepy Hollow”): In Irving’s classic short story, the Horseman is the ghost of a Hessian soldier decapitated by a cannonball during the American Revolution. While it is suggested in the story that the “spirit” who chases schoolteacher Ichabod Crane might really be Crane’s romantic rival impersonating the ghost to scare him off, the legend of the Headless Horseman remains potent (and if you haven’t seen the Disney adaptation or Christopher Walken’s take on the character in Sleepy Hollow, then you are missing out)."
Tomás,"(El Orfanato/The Orphanage): The protagonist of Spanish suspense/horror film The Orphanage first encounters Tomás as the imaginary friend of her adopted son, Simón—but as events turn sinister, he becomes more of a definite, if ghostly, presence. Depicted through most of the film as a small boy wearing a disturbing mask stitched together out of sackcloth, Tomás is simultaneously horrifying and heartbreaking."
Vetala,"(Hindu folklore): Spirits who tend to haunt places of burial and charnel grounds; trapped between life and the afterlife, they can take possession of corpses and cause all kinds of crazy trouble for the living."
Wiedergänger,"(German folklore): Category of undead spirits who would trouble or torment the living in different ways; some types would jump on the backs of their victims and grow heavier and heavier until they broke down, exhausted or dead. Another variation is the headless rider, which made its way from European ghost story to American literature thanks to Washington Irving."
Xunantunich,"(Real life/Archaeology): The name of this ancient Mayan archaeological site in Belize comes from Mayan words for “Stone Woman,” after the ghostly figure who has been seen haunting the site since 1892. Dressed all in white with fiery, red glowing eyes, the woman reportedly appears at the site, ascends the steps of the ceremonial pyramid and disappears into a stone wall."
Yūrei,"(Japanese folklore): Used as a general term; there are also more specific types of ghosts, like the Onryō (vengeful spirits who return from purgatory), Goryō (aristocratic ghosts, often vengeful martyrs), or Zashiki-warashi (mischievous ghost children)."
Zhong Kui,"(Chinese mythology): By some accounts, Zhong Kui is the ghost (Guĭ) of a man who failed his civil service exams and committed suicide, he is a vanquisher of ghosts and evil spirits: a ghost who hunts other ghosts."
Zuul,"(Ghostbusters): The Gatekeeper of Gozer; minion of The Destructor. Lovely singing voice, but with an unfortunate tendency to manifest as a Terror Dog and/or take over your fridge."
